_id,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,category,class
{'$oid': '5a132293741a2384e8376cbc'},A19PBP93OF896,0000031887,"Alinna Satake ""Can't Stop Eating""","[0, 1]","My 3-yr-old daughter received this as a gift for her birthday.  She's no pixy, but she's not huge either, and it was VERY tight on her, so I doubt a 6 year old can fit it comfortably.  The tutu fell apart after 12 hours -- the satin waistband detached from the tulle.  Unless twirling counts as rough wear, I'd say this was poorly constructed.  I sent two messages to Sydney So Sweet directly, trying to get a replacement or at least some kind of acknowledgement and NOTHING.  So ... crappy construction and crappy customer service.  I already don't like tutu/fairy/princess stuff, and this just furthers my opinion that companies like this are preying on daughters.  Boo!",1.0,Tiny and Poorly Constructed!,1363824000,"03 21, 2013",Clothing_Shoes_and_Jewelry,0.0
{'$oid': '5a132293741a2384e8376cb9'},A2G0LNLN79Q6HR,0000031887,"aj_18 ""Aj_18""","[1, 1]",This was a really cute tutu the only problem is that it was super short on my 5 yr old daughter. Other than that it was really adorable.,4.0,Really Cute but rather short.,1337990400,"05 26, 2012",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cba'},A2XVJBSRI3SWDI,0000031887,abigail,"[0, 0]",Perfect red tutu for the price. I baught it as part of my daughters Halloween costume and it looked great on her.,5.0,Nice tutu,1383523200,"11 4, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cbd'},A1P0IHU93EF9ZK,0000031887,Amanda,"[0, 0]",Bought it for my daughters first birthday which is lady bug themed and it fits perfect the stitching is a little loose but only need it one day,4.0,i love it,1390435200,"01 23, 2014",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cbe'},A1KLRMWW2FWPL4,0000031887,"Amazon Customer ""cameramom""","[0, 0]",This is a great tutu and at a really great price. It doesn't look cheap at all. I'm so glad I looked on Amazon and found such an affordable tutu that isn't made poorly. A++,5.0,Great tutu-  not cheaply made,1297468800,"02 12, 2011",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cbf'},A1GQPAM8Y45QN7,0000031887,Amazon Customer,"[0, 0]","Got this for our youngest kid, she loves it. Its big and made better than the last cheap tutu we got for her.",5.0,Tutu,1356480000,"12 26, 2012",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cbb'},A2R3K1KX09QBYP,0000031887,alert consumer,"[1, 1]",the tutu color was very nice. the only issue with this tutu is the quality of material used. it appears cheap and after much play my 3 year old managed to snag a piece of the fabric and that was the end of life for this particular tutu.,2.0,not very good material.,1361059200,"02 17, 2013",Clothing_Shoes_and_Jewelry,0.0
{'$oid': '5a132293741a2384e8376cc2'},AEAN37KUOYSX4,0000031887,Amazon Customer,"[0, 0]",Just as described and arrived fast-although I upgraded shipping options in hopes it would arrive in time for a school function (it did!)  Amazing price too!  This tutu is 3 layers- much better quality than I expected given the low cost!,5.0,Fantastic!,1371859200,"06 22, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cc1'},A2G5TCU2WDFZ65,0000031887,Amazon Customer,"[0, 0]","I bought this for my 4 yr old daughter for dance class, she wore it today for the first time and the teacher thought it was adorable. I bought this to go with a light blue long sleeve leotard and was happy the colors matched up great. Price was very good too since some of these go for over $15.00 dollars.",5.0,Very Cute!!,1358553600,"01 19, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cc3'},A2QEODSEIT1ME2,0000031887,Amazon Customer,"[0, 0]",This really is a nice tutu for the price. It has multiple layers and is not cheaply made. For me the shipping was not very fast but it was very worth the money spent.,5.0,Very Nice,1362355200,"03 4, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cc0'},A3Q6CTO56DJ8UZ,0000031887,Amazing Amazon,"[3, 4]","I ordered this for a costume for me (I'm a 5'5"" adult) and was surprised by the quality considering it was under $10.  The tulle is double layered and the waistband is satin and very comfortable.  The waistband stretches to about 30"".",4.0,Good Quality!,1268697600,"03 16, 2010",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cc5'},A3CHBY0CB0O7PP,0000031887,Amazon Customer,"[0, 0]",Vey cute and perfect for my 6 yr old daughter. She wore it to a princess birthday party. Lots of fun.,5.0,cute,1392681600,"02 18, 2014",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cc9'},A1Z4XQ937SMPO3,0000031887,amstier,"[0, 0]",Loved it and so did my daughter! Super cute and will stand up to many uses! She went as Ladybug Girl and looked the part with this tutu. :),5.0,super cute!!,1353456000,"11 21, 2012",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cc4'},A1MCJONUQ78L9T,0000031887,Amazon Customer,"[0, 0]",Purchased it for my daughter bc she needed a red tutu for her costume. It was really cute but it was not that puffy but it did the job.,5.0,My daughter loved it!,1402876800,"06 16, 2014",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cc6'},A2PSIVW9I3TGHD,0000031887,Amazon Customer,"[0, 0]","Very cute, shorter than I was expecting, but then again, I didn't bother to calculate the measurements before ordering it. It has three layers of tulle, so it's not as full as the picture looks if stretched fully, but still a full skirt. I bought this skirt for my six year-old niece, so I highly doubt the skirt will ever be stretched to its full capacity on her. In fact, the skirt stretches pretty far but is also retractable so it can fit a variety of sizes.",4.0,Good product,1386633600,"12 10, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cca'},AZMKXP68HZ4CN,0000031887,Angela K. Ford,"[0, 0]","Our 3-year-old petite granddaughter loves it!  I was afraid it might not be small enough, but it fit well with room for future growth!",5.0,Wonderful!,1377302400,"08 24, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376ccc'},A5GPS8FCXTPPI,0000031887,Ann C Peat,"[0, 0]",The waistband was not sewed properly. I had to sew the front to the back myself so it would stay in place when it was worn.,3.0,Waistband,1356652800,"12 28, 2012",Clothing_Shoes_and_Jewelry,0.0
{'$oid': '5a132293741a2384e8376ccd'},AM1CYMR007O6H,0000031887,anne foster,"[0, 0]",The tutu's was for my neice... She LOVED IT!!!  It fit well and will fit her for some time with the elastic waist.... great quality and very  inexpensive!  I would buy her another easily.,5.0,Tutus!,1389744000,"01 15, 2014",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cce'},A25G580SJ513IC,0000031887,Anne Klein,"[0, 0]",My 5 year old daughter get this today for Christmas.  She and we are very pleased with it.  Thank you so much!,5.0,Very happy!,1387929600,"12 25, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cc8'},A2F9MVWWC0IZYW,0000031887,Amy,"[0, 0]","I just got this today! I can't wait to see how it will look with my costume for halloween. I'm hoping it will be durable enough since I'm going down to Santa Barbara in this.I was a little iffy on getting this at first just because I read ""fit's kids ages 3-10"" but I'm 5""1 114lbs and it sits perfectly on my waist. I was looking for a good length tutu that is reasonably short but short enough to please both my boyfriend and I and this tutu was perfect enough.Only downside is that the ends of the tutu look like it was cut with scissors and it makes me worried that for halloween it might come apart while I'm out with my friends. We'll see though, the tutu is still cute and completes my outfit (:",4.0,Perfect for the price,1382572800,"10 24, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376ccb'},AV056ETQ5RXLN,0000031887,anna alexander,"[0, 0]","It was beautiful when I first received it. My 4yr old wore it once to her ballet class and it already started to come off the seams after one hour of use. I didn't bother returning it because my little one was about to throw a fit when I told her we were going to send it back. It was cheap anyway, ya get what you pay for. I just sewed it back together.",1.0,Cheap,1397692800,"04 17, 2014",Clothing_Shoes_and_Jewelry,0.0
{'$oid': '5a132293741a2384e8376ccf'},A1MYJDE1JEKLHX,0000031887,AP,"[0, 0]","This is a very basic tutu not a lot of layers like a ""full"" tutu but great for play or dress up.",4.0,Cute Tutu,1351036800,"10 24, 2012",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cc7'},AAE8WBNKHQPL5,0000031887,Amazon Customer,"[2, 3]","Bought this for my 12 year old niece whom has the shape and figure of a twenty-something year old! It went under her Halloween costume and while I didn't think it was going to fit the circumference of her waist, it surprisingly DID! She wore it all night at her school dance and then again on a trick-or-treating outing and was comfortable the entire time! Thank you for making such a versatile product!",5.0,Deceivingly Workable!!,1354752000,"12 6, 2012",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cd0'},A1WAAEP1EBQ3S4,0000031887,artgirl1288,"[0, 0]",tutus are amazing. i love them and so does my sisters. my whole family weres them and use to wear them .,3.0,tutus rock,1359158400,"01 26, 2013",Clothing_Shoes_and_Jewelry,0.0
{'$oid': '5a132293741a2384e8376cd1'},A3H1W0DWLW5DLH,0000031887,ashley,"[26, 28]",I bought this as part of my halloween costume. It says it fits kids up to 10 years old. I'm 24 (size 1-3 in jeans depending on brand) but it fits perfectly. The only problem is it has a slightly odd odor. but i sprayed it down with perfume. lol so that took care of that problem! I Highly recommend this seller because they ship orders very fast.,5.0,Very happy customer,1286668800,"10 10, 2010",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cd4'},A3QW1I2TL6WBS6,0000031887,Avidreader,"[0, 0]","The tutu was the right color and fit my 3 1/2 year old granddaughter perfectly.  The price was right , too!",5.0,Perfect Fit,1399680000,"05 10, 2014",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cd2'},A17TA3DQZ87RQH,0000031887,avidread2,"[0, 0]",Great product for the price.  There aren't many ballet classes available for my 4 year old so it doesn't get a lot of wear and tear but it's great for the times we need it.,5.0,Bought the purple one too!,1361059200,"02 17, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cd3'},AJ7SZVK2FSZQJ,0000031887,AuntBumblebee,"[2, 2]","I bought this tutu as part of a costume for myself. I'm generally a size 8 or 10 in women's clothing. I took a risk getting this kids tutu but felt okay with the gamble considering other adult women's reviews. I cannot pull this UP over my hips but I can pull it on DOWN over my head and bring it to down to the right level. For a one time use at Halloween, it'll do! If you are an adult any bigger than me, I don't think you will be able to make this work for yourself. I will probably donate this to my niece's play clothes after the holiday is over as it is definitely kiddo size and she will still be able to get plenty of use out of it.",4.0,Good enough for Halloween!,1380153600,"09 26, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cd5'},A36QXSHZCUC7VY,0000031887,Bearfoot,"[0, 0]","These tutus fit my 5T/XS 5 year old and my 2T 2 year old very well, and look adorable! The quality seems good so far, too.",4.0,Adorable!,1325376000,"01 1, 2012",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cd6'},AGH2CNG5GFOM,0000031887,BellyButton,"[0, 0]",This is a very cute tutu! The purple is so pretty!  Nicely made for a $7 tutu!  So glad I purchased it!,5.0,So cute!,1381708800,"10 14, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cda'},AEIOS4PFEY8B8,0000031887,Bishan Zhou,"[0, 0]","It is a fine tutu, true to its price. My little ones liked it. Shipping is really fast. I would recommend it to others.",3.0,It's a good tutu for the price,1322265600,"11 26, 2011",Clothing_Shoes_and_Jewelry,0.0
{'$oid': '5a132293741a2384e8376cd8'},A2KSU0OEYSRYNQ,0000031887,bigfoot64485,"[0, 0]","This tutu is very basic, but that's a good thing if you are ordering it for a costume, since it's easy to dress up and change into whatever you might need it to be. It was a great value, for the price the quality is very good. My daughter is 6, and a little chunky, but the elastic waist band fit her perfect (she is about a size 10 girls).",4.0,Halloween Costume,1356048000,"12 21, 2012",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cd7'},A2T247H3WD9NS0,0000031887,"Betty Anne ""Betty Anne""","[0, 0]","I ordered this tutu for my 2 yr old granddaughter who loves tutus and expecially yellow ones. It is slightly big/long but she is able to wear it without a problem. She will be able to wear it for several years. So very adorable!! Well made, too.",5.0,cute! cute! cute!,1391040000,"01 30, 2014",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cd9'},A2TVSGUKDUT8HE,0000031887,Binks13,"[0, 0]",Got this product thinking it was going to cheap and flimsy but it was just for my 2 year old to dress up went ahead and ordered it. I was blown away by how fast I got it (ordered it on a friday evening recieved it on monday morning) and the quality was wonderful. The color was a very nice purple and my little one loves it!,5.0,Very Impressed!,1345507200,"08 21, 2012",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cdb'},A3S51SY6L4RKHY,0000031887,Blesdiva,"[2, 3]","excellent quality and a fast shipper.  i have a very active grand daug.,  and it has held up very well.  great buy.",5.0,tutu,1340755200,"06 27, 2012",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cde'},A1YJJG9T2P6VNS,0000031887,bobbie fillmore,"[0, 0]",Tutu is always a hit for young girls and my Grand daughter loves hers. Sometimes Momma can't get her out of it.,5.0,Tutu,1388620800,"01 2, 2014",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cdf'},A3VV6Q18NFUCSX,0000031887,Brenda Rosales,"[0, 0]","Bought this for my 7yr old niece and she absolutely loved it. It was poofy, and great quality. Has an elastic waistband which is nice as I decided to try on myself when we played with barbies lol!!!",5.0,Great quality,1374105600,"07 18, 2013",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cdc'},A338UR0Q3EG733,0000031887,"B. Meade ""BRM""","[1, 1]",This tutu is exceptional.  I purchased several and my granddaughter loves every one of them and plays with them constantly.  Very pleased with this product and purchase.  The price is extremely reasonable.  Highly recommend this product.,5.0,Basic Ballet Dress-Up Tutu,1278979200,"07 13, 2010",Clothing_Shoes_and_Jewelry,1.0
{'$oid': '5a132293741a2384e8376cdd'},A1AXA05K077RK6,0000031887,bnmomrocks,"[0, 0]","I was expecting a fuller tutu, but it still worked and looked pretty good.  Got here fast!  The color was perfect.",3.0,shipped quickly but little disappointed,1383264000,"11 1, 2013",Clothing_Shoes_and_Jewelry,0.0
{'$oid': '5a132293741a2384e8376ce0'},AH3F12SYJ693R,0000031887,Brian D. Leahy,"[0, 0]",Absolutely beautiful costume.  Very soft and breezy!  My granddaughter loves it!  Super fast delivery!  Thanks!  Wouldn't hesitate ordering more!  Runs true to size,5.0,Ballet Dress Up Fairty Tutu,1360713600,"02 13, 2013",Clothing_Shoes_and_Jewelry,1.0
