_id,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,category,class
{'$oid': '5a132768741a2384e847b8ed'},A2PAVURT4NOHE1,0000031852,Leah,"[0, 0]","Bought it for a ballet tutu but it is being worn around the house with leggings. Really cute, full skirt.",5.0,Super cute,1388361600,"12 30, 2013",Sports_and_Outdoors,1.0
{'$oid': '5a132768741a2384e847b8e9'},A1SNLWGLFXD70K,0000031852,DEVA,"[0, 0]",I origonally didn't get the item I ordered.  When contacting the company they got back with me quickly.  It turned out the item was out of stock.  They sent it once it came in stock.  This wasn't a problem for me since I ordered the item way in advance for my daughters birthday.  I would recommend this selling but ordered ahead of time just incase.,4.0,Happy with purchase even though it came a lot later than expected.,1392940800,"02 21, 2014",Sports_and_Outdoors,1.0
{'$oid': '5a132768741a2384e847b8ee'},A3URQ0LXLV46E9,0000031852,shortyvee,"[0, 0]",My daughter and her friends love the colors and the way it fit. Last long after each wash. Will order more colors.,4.0,zebralisous,1400544000,"05 20, 2014",Sports_and_Outdoors,1.0
{'$oid': '5a132768741a2384e847b8ea'},A1KJ4CVG87QW09,0000031852,Donna Carter-Scott,"[0, 0]","Arrived very timely, cute grandbaby loves it. Only thing there was a scent on it when it came but for the price it was great!",4.0,Cute Tutu,1389657600,"01 14, 2014",Sports_and_Outdoors,1.0
{'$oid': '5a132768741a2384e847b8eb'},AA9ITO6ZLZW6,0000031852,Jazzy77,"[0, 0]",My little girl just loves to wear this tutu because of the stripes! She has even convinced me to let her wear it over leggings when we go out instead of exclusively for ballet. Since the tutu isn't too full it work as a skirt for everyday wear as well,5.0,Versatile,1399507200,"05 8, 2014",Sports_and_Outdoors,1.0
{'$oid': '5a132768741a2384e847b8ec'},APJ5ULJ1RMZ4,0000031852,kesha wallace,"[0, 0]","I bought this for my 3 yr old daughter when I took it out the pack it had a bad oder, cute but very cheap material easy to ripe.  When I tried it on her it was to big, but of course she liked it so I kept it. I dressed her up in it and she looked cute.---- NikkiFrom Baltimore",1.0,Would not recommend,1398556800,"04 27, 2014",Sports_and_Outdoors,0.0
{'$oid': '5a132768741a2384e847b8f0'},A2EPSZKEG06QZE,0000031895,Katie R.,"[1, 1]","This tutu is completely see-through. I bought it for my 6 year old to wear in a parade she is walking in and she absolutely will not be able to wear it without pants on underneath, which I was not expecting.",2.0,Completely See-Through,1396224000,"03 31, 2014",Sports_and_Outdoors,0.0
{'$oid': '5a132768741a2384e847b8f1'},A23K73OVXJ04EG,0000031895,"Susie Mo ""author""","[0, 0]",It was as described and fit my 6 year old grand daughter perfectly. She loves to play dress-up and this is a good addition to her wardrobe. I received the item quickly and the packaging was great.,5.0,Neon Blue Tutu,1391212800,"02 1, 2014",Sports_and_Outdoors,1.0
{'$oid': '5a132768741a2384e847b8f4'},A9A1P7C3G1V9H,0000031909,michelle smith,"[0, 0]","Cheap fabric, it ripped the same day my daughter wore it",2.0,Two Stars,1404950400,"07 10, 2014",Sports_and_Outdoors,0.0
{'$oid': '5a132768741a2384e847b8f2'},A2182SHKEJLY7N,0000031909,Delta Pruim,"[0, 0]","It's a really nice tutu, but there was one problem that i need to address, the cloth it's made out of. For one, it is really easy too rip, and when you wash it, it shrinks! They could have told me that! I got ticked off, and i don't want you getting it, washing it, and not being able to wear it. Besides that, it's a really good one!",4.0,"Nice, but one problem",1384041600,"11 10, 2013",Sports_and_Outdoors,1.0
{'$oid': '5a132768741a2384e847b8f5'},A3TBJ4L4RGPIGE,0000032034,D. Simpson,"[0, 0]",As described...this will work perfect for the event we are going to.  Bright color..soft tool...will purchase more items from this seller.,5.0,Wonderful,1403136000,"06 19, 2014",Sports_and_Outdoors,1.0
{'$oid': '5a132768741a2384e847b8ef'},A2681T699HV6H1,0000031895,Courtney Riha,"[0, 0]","very cute and went great with my Halloween costume! for the price, couldn't have asked for better. Warning: if you are not a child this tutu is a very tight fit, i wear a size 0 and it was a little hard to get it over my hips",4.0,loved it!,1384905600,"11 20, 2013",Sports_and_Outdoors,1.0
{'$oid': '5a132768741a2384e847b8f8'},A107J9TV0VW5I7,0000032050,,"[0, 0]","I bought this for an 80's themed party.The size was accurate but it was more transparent than it appears, however nothing that ruffled boy shorts couldn't fix.Good buy !",5.0,Good buy!,1405209600,"07 13, 2014",Sports_and_Outdoors,1.0
{'$oid': '5a132768741a2384e847b8f7'},A2MPIVS0KSY8O0,0000032034,Sonja,"[11, 12]",Purchased and wore these tutus for the Portland to Coast relay race.  The were a one size fits all although we cut off about 12 or more inches as they were too long for our needs.  Soft and not at all scratchy.,5.0,Tutus,1378771200,"09 10, 2013",Sports_and_Outdoors,1.0
{'$oid': '5a132768741a2384e847b8fa'},A1L437EBT5RX9M,0000032050,Elle,"[0, 0]","Well made, arrived quickly.  Was for an art installation and fit an adult beautifully.  would recommend and have no complaints.",5.0,very cute,1401494400,"05 31, 2014",Sports_and_Outdoors,1.0
