_id,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,category,class
{'$oid': '5a13282b741a2384e879a620'},A3C9CSW3TJITGT,0005069491,Renee,"[0, 0]","I love these felt nursery rhyme characters and scenes.  The quality of the felt is good, and the illustrations are detailed and pretty.  As noted, the figures and scenes are printed on 2 large sheets of flannel and each individual item needs to be cut out.  This process took me 2 hours of tiny cutting.  To me it does not lend itself to a book form but rather laying out the scenes separately or for use on a flannel board.  However, I love the quiet play it offers for my toddler, and as a former Kindergarten teacher, I understand the value of learning rhyme and its connection to future reading.  Overall, delightful product with some work involved.",4.0,Charming characters but busy work required,1377561600,"08 27, 2013",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a621'},A31POTIYCKSZ9G,0076561046,So CA Teacher,"[0, 0]","I see no directions for its use. Therefore I have to make up the games, unfortunately.",3.0,No directions for use...,1404864000,"07 9, 2014",Toys_and_Games,0.0
{'$oid': '5a13282b741a2384e879a622'},A2GGHHME9B6W4O,0131358936,Dalilah G.,"[0, 0]",This is a great tool for any teacher using the Pre Calculus Enhanced with Graphing Utilities book (of any edition). Easy to use with a very extensive test bank. Excellent!,5.0,Great CD-ROM,1382400000,"10 22, 2013",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a61f'},AMEVO2LY6VEJA,0000191639,Nicole Soeder,"[0, 0]","Great product, thank you! Our son loved the puzzles.  They have large pieces yet they are still challenging for a 4 year old.",5.0,Puzzles,1388016000,"12 26, 2013",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a623'},A1FSLDH43ORWZP,0133642984,Dayna English,"[0, 0]",Although not as streamlined as the Algebra I materials .. this is extremely helpful for first time teachers ...bulk of materials are prepared for presentations.,5.0,Algebra II -- presentation materials,1374278400,"07 20, 2013",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a624'},A3NXHTSEBX9YHB,0279515766,marlenetbueras,"[0, 0]",i am glad to get it after 25 yr of waiting for her i ended up with 4 of her,5.0,my strawberry shortcake,1363564800,"03 18, 2013",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a626'},A3CJHKFHHQJP2K,0375829695,"Beth Sharo ""bookmom""","[0, 0]",My son got this book for his birthday.  He loves puzzles and Dr. Seuss and I felt that this would be a winning combination.  The pieces are all the same shape and can easily be put together in the wrong place.  I worked with him to complete the puzzle and found it frustrating as an adult.  I would not recommend this book to anyone.,1.0,Disappointing Puzzle Book,1297209600,"02 9, 2011",Toys_and_Games,0.0
{'$oid': '5a13282b741a2384e879a627'},A3638FINP26E8N,0375829695,C. Boykin,"[1, 1]","Love the book format. My 4yr old grandson loves puzzles and Dr. Seuss was an added plus. BUT several of the pieces are cut the same, causing unnecessary confusion and frustration for both of us.",3.0,frustrating puzzle pieces,1282521600,"08 23, 2010",Toys_and_Games,0.0
{'$oid': '5a13282b741a2384e879a62a'},A1QG5NJW3LOTSO,0375829695,H. Chao,"[0, 0]","On the plus side - puzzle book format and delightful Seuss pictures. Big minus - puzzle pieces that physically fit together don't actually go together if you look at the picture, which makes these children's puzzles unnecessarily and frustratingly difficult.",3.0,mixed feelings,1201564800,"01 29, 2008",Toys_and_Games,0.0
{'$oid': '5a13282b741a2384e879a629'},A27GZ92KLXDJVJ,0375829695,D. Glade,"[1, 1]","This puzzle is poorly made.  The picture part of the puzzle pieces pops right off the backing.  Also, as another review mentioned, all the pieces are cut the same - so pieces that don't actually go together fit just fine.  This was extremely confusing for my 3 year old who is a puzzle pro!  Don't waste your money, stick with Melissa and Doug!",2.0,Cheaply made puzzle - not worth your $!,1264550400,"01 27, 2010",Toys_and_Games,0.0
{'$oid': '5a13282b741a2384e879a62b'},A2R5OO04DXXGZ2,0375829695,Jack Bowdoin,"[0, 0]",Nephew and Niece loved these! Highly recommended. Each page has a puzzle and on the back a Dr. Seuss blurbs. The puzzles don't look that cheap to me.,5.0,Great Puzzle!,1354665600,"12 5, 2012",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a62d'},A2WR3MP7IGOFBO,0375829695,M. Jimenez,"[0, 0]","Very cute. I liked that each of the puzzle frames have their own background color that corresponded with the backs of the puzzle pieces, Makes is so easy to sort if your child happens to take out pieces from all of the puzzles",5.0,Cute,1399852800,"05 12, 2014",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a62e'},A3K6F6HQIH3UJP,037585746X,Lindsay,"[1, 1]","Great coloring and activity book for young children!It arrived in plenty of time for my daughter's birthday, I would recommend it!",5.0,Very Cute Coloring Bookwith Activities!,1348531200,"09 25, 2012",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a628'},AUT7723O49VMN,0375829695,Cindy Lindy,"[1, 1]",I'm a 2nd grade teacher.  My students found the jigsaw puzzle book challenging and fun.  We ended up cutting it up to allow more to use the puzzles at one time.  A great activity for children when they have finished their work and or when a class is celebrating Dr. Seuss' Birthday!,4.0,challenging and fun,1237766400,"03 23, 2009",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a62f'},A15KKP3QW57CMT,0425066169,Carlos J. Glanville,"[0, 0]","Complex game.  It takes a while to learn but when you play with multiple people, it really is a lot of fun.",5.0,Great game,1363392000,"03 16, 2013",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a630'},A2O0GYFT35RIX6,0425066169,John D. Culbertson,"[5, 5]","Sanctuary is a 1982 board game based upon the anthology series Thieves World.  The production values are rather low and the rules horribly written.  If you take the time to really, really sift through the rules you can enjoy this game.The neat thing is that the game comes in many forms.  You can play it solitaire.  Your goal is to clean up crime in Sanctuary.  Or you can play the basic design for two to five players or an advanced version of the same game.  Finally, you can try a six player version (just so you don't leave anyone out.  I found the advanced game the most satisfying.You goal is to commit thefts so that you gain and secure 300 silver pieces.  Along the way you may luck into 10 or 20 silver pieces here or there.  Of course you will lose money as you get thrown in the dungeon, mugged by other players, have bad luck, or choose to buy weapons, thugs, or magic to assist you.In a neat convention, players move their characters and the guards during their turn.  Two six sided dice and one ten sided die are rolled and the player uses two to move his/her character with the remaining die used to move the guard.  In this way players can choose to move the guards away from them, toward their competiton, or hopefully both.  After moving to the designated area players burgle, mug, or pick pocket their way to wealth and retirement.  Fortune smiles on the players in the liberal mecca of Sanctuary as even the worst of thefts results in only a temporary setback - no death or dismemberment here.Overall this is a decent game, but it will take you awhile to find this out.  Readers of the books will enjoy the game for nostagic reasons.",3.0,"If your willing to fight for it, this game will work.",1117065600,"05 26, 2005",Toys_and_Games,0.0
{'$oid': '5a13282b741a2384e879a62c'},A11TL78PNBS336,0375829695,"L. Vickers ""lcvickers""","[0, 0]","If you have a child who loves Dr. Suess, and loves puzzles- this may be a good match! Just be aware that the peices are small, (48 per page) and that although it suggests an age range of 4-8, it probably is too involved for most 4 year olds to do on their own. But it is a fun book, and I have given several out for birthday presents to the children in my son's preschool.",4.0,Big book of puzzles!,1292198400,"12 13, 2010",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a632'},AWC5CBJRYHDQO,0439028485,"Cynthia E. Vangavree ""Cindy""","[1, 3]","The product review was unclear as to the condition of either new or used. You were made to believe the item was new. The seller's store profile indicated nothing but USED items were being sold. This information only surfaced after attempting to cancel the credit card purchase. Contact was made by email to the seller numerous times to cancel the order 20 minutes after sending it. This experience reinforces why people do not trust internet vendors.RichardMifflintown,PA",1.0,Very confusing description of the product for sale,1274054400,"05 17, 2010",Toys_and_Games,0.0
{'$oid': '5a13282b741a2384e879a631'},A2BK2H5ZEB4H2Z,0439028485,Alicia Pearson,"[0, 0]","Bought this form my nephew age 2, He loved clifford.  Found this to be helpful with fine motor skills and he just loves blocks.  They are like a cardboard with covering type material so they can break but for clifford lovers and for stacking blocks this is great.",4.0,Clifford stacking blocks,1324425600,"12 21, 2011",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a633'},AFKFJKM6J13P3,0439028485,"M. Strickland ""Montana Grandma""","[1, 1]","Very sturdy, has the ABC's, Numbers, and is fun to stack up and knock down.  I bought them form my 16 mo old grandson and his big sister who's 7 loves them too!!",5.0,Lots of fun,1232323200,"01 19, 2009",Toys_and_Games,1.0
{'$oid': '5a13282b741a2384e879a635'},ANMSW0F2QRMDE,0439028485,Tonia Hannemann,"[1, 2]",I already sent in 1 review for this toy.The quality was Poor!  The outside paper covering was flimsy...and the glue had run down the inside of several of the boxes...and looked cheap and messy.  This is the 1st Amazon product I have been disappointed with.  It was not worth the money I spent getting it for my granddaughter...what a shame.,1.0,disappointment with quality,1268524800,"03 14, 2010",Toys_and_Games,0.0
{'$oid': '5a13282b741a2384e879a634'},A4Y5PAH9NPQKJ,0439028485,Sarah Crawford,"[1, 1]","My daughter loves Clifford and stacking, so these blocks seemed like a perfect gift.  I was shocked to see the price listed so I put it in my wish list instead of my cart but as the Xmas grew closer I thought ""well... maybe they will be worth the splurge"".  They are pretty.  But they're made of cardboard.  They are just 10 cardboard stacking blocks.  I am not what you would call a frugal person but the cost is exorbitant.  Would look for a used set next time.*** Thought I should clarify after reading my review and seeing the NEW price listed.  Apparently I was taken by the old ""raise the price around Xmas"" trick.  I paid... ON AMAZON a few weeks before XMas $39.99 for these blocks.  I see now they are $15.99.  Now I really feel tricked.",2.0,Product is nice but the cost!  Yeesh.,1326326400,"01 12, 2012",Toys_and_Games,0.0
{'$oid': '5a13282b741a2384e879a636'},A18OBUSMXVE8R0,0439400066,J. Guild,"[0, 0]","This is a neat little introduction set for anyone interested in puzzles,optical illusions,quizzes ,etc. The pack consists of 9 thumbnail size wire puzzles.These are age old puzzles and are very simple to solve,and actually the way they are solved is much the same way.There is small 3 3/4 X 3 3/4 inch booklet of 48 pages ,which gives a full page illustration for solving each wire puzzle.The rest of the book consists of 29 puzzles and answers.The quality of the wire puzzles is quite poor as the wire is very light and can be easily bent and deformed,ruining them.The other puzzles are fairly good and with a little time can be solved by kids or adults.Now let me explain my title.On the back of the package the price is stamped,$7.99 US,$10.99 Cdn.That is plenty to pay for this item.However,it is being offered here for $99.15.This is a  ridiculously high price and anyone who pays that much for this kit will be very disappointed.Then there's the Shipping Weight that is listed as 2 pounds.At the most this item weighs only about 3 or 4 ounces.",3.0,Who's  kidding who ?,1375401600,"08 2, 2013",Toys_and_Games,0.0
