_id,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,category,class
{'$oid': '5a13242d741a2384e88f3c11'},A2WNBOD3WNDNKT,0439886341,JAL,"[1, 1]",Some of the functions did not work properly.  My daughter bought this with her own money and was disappointed that it did not function as advertised.,3.0,Disappointing,1374451200,"07 22, 2013",Electronics,0.0
{'$oid': '5a13242d741a2384e88f3c0f'},AKM1MP6P0OYPR,0132793040,"Vicki Gibson ""momo4""","[1, 1]",Corey Barker does a great job of explaining Blend Modes in this DVD. All of the Kelby training videos are great but pricey to buy individually. If you really want bang for your buck just subscribe to Kelby Training online.,5.0,Very thorough,1365811200,"04 13, 2013",Electronics,1.0
{'$oid': '5a13242d741a2384e88f3c12'},A2CX7LUOHB2NDG,0321732944,Bernie,"[0, 0]","While many beginner DVDs try to teach you everything there is to know about Photoshop CS5, this introductory course shows you the critical things you need to know to start feeling confident in your Photoshop skills. Bestselling author and Photoshop trainer, Matt Kloskowski shows you exactly what you need to know about tools, filters, adjustments, palettes, and menu items to hit the ground running in Photoshop. These include: layers and how they're key to mastering Photoshop, selections and the essential tools you really need to worry about, getting started with Camera Raw and which Retouching tools you'll find the most helpful. When you're done with this DVD you'll have a solid grasp of the most important features and be at the next level in no time.",5.0,"Adobe Photoshop CS5 Crash Course with master Photoshop trainer, Matt Kloskowski",1341100800,"07 1, 2012",Electronics,1.0
{'$oid': '5a13242d741a2384e88f3c10'},A2NWSAGRHCP8N5,0439886341,bowmans2007,"[1, 1]",It never worked. My daughter worked to earn the money to get this and it never worked for her. I had to buy her a new one to replace it,1.0,absolutely horrible,1367193600,"04 29, 2013",Electronics,0.0
{'$oid': '5a13242d741a2384e88f3c13'},A1GI0U4ZRJA8WN,0439886341,Truthfull,"[4, 4]",Do not waste your money on this thing it is terrible i boutght this product for my son and when i put in phone numbers for him to remember or the date and  it would always reset then i would have to do it all over again i couldn't do anything about it it was getting very frustrating so we just threw it away DO NOT Absolutely DO NOT SPEND YOUR MONEY ON THIS,1.0,TERRIBLE DONT WASTE YOUR MONEY,1334707200,"04 18, 2012",Electronics,0.0
{'$oid': '5a13242d741a2384e88f3c16'},A34ATBPOK6HCHY,0511189877,Nancy C. Johnson,"[0, 0]",This unit works just like the TEC unit only better. I like it and would buy another if needed. OK?,5.0,Great piece,1395532800,"03 23, 2014",Electronics,1.0
{'$oid': '5a13242d741a2384e88f3c17'},A89DO69P0XZ27,0511189877,Stephen Schultz,"[0, 0]",It is an exact duplicate of my Time warner remote.I bought it so my wife could control the TV from her chair and not ask me to do it every time.It works great.I would reccomend it to anyone.,5.0,Time Warner cable remote,1395446400,"03 22, 2014",Electronics,1.0
{'$oid': '5a13242d741a2384e88f3c14'},A3J3BRHTDRFJ2G,0511189877,"EJ Honda ""ejhonda""","[1, 1]","This remote, for whatever reason, was chosen by Time Warner to replace their previous silver remote, the Time Warner Synergy V RC-U62CP-1.12S.  The actual function of this CLIKR-5 is OK, but the ergonomic design sets back remotes by 20 years.  The buttons are all the same, there's no separation of the number buttons, the volume and channel buttons are the same shape as the other buttons on the remote, and it all adds up to a crappy user experience.  Why would TWC accept this as a replacement?  This remote is virtually impossible to pick up and use without staring at it to make sure where your fingers are.  Heck, you have to feel around just to figure out if you've grabbed it by the top or bottom, since there's no articulation in the body of the thing to tell you which end is up.  Horrible, just horrible design.  I'm skipping this and paying double for a refurbished Synergy V.",2.0,Ergonomic nightmare,1397433600,"04 14, 2014",Electronics,0.0
{'$oid': '5a13242d741a2384e88f3c15'},A2TY0BTJOTENPG,0511189877,Johnny Exx,"[0, 1]","We had an old Time Warner Cable remote that was dropped into a bucket of dirty mop water.  We dried it out and it seemed to work &#34;fine&#34; except for the few times one of the batteries began to sizzle and smoke and became hotter than anything I had ever felt before and literally burned a hole in our couch upholstery.  Needless to say, this remote, the CLIKR-5, is awesome, easily programmed, and works perfectly with our TWC equipment and all the other A/V components.  I love this remote... great product.  (Probably goes without saying, but just in case, you don't get the TWC logo on it.)",5.0,Excellent replacement to Time Warner Cable remote,1395878400,"03 27, 2014",Electronics,1.0
{'$oid': '5a13242d741a2384e88f3c19'},AZYNQZ94U6VDB,0511189877,Terri L. Pittman,"[0, 1]",Works on my t.v. that no other remote works on.  Was hard as heck to find a compatible one.  Even works with my old blu ray player.  Doesn't work with my old VCR but that thing is so old it would be like walking on water if it did.,5.0,Awesome,1401321600,"05 29, 2014",Electronics,1.0
