_id,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,category,class
{'$oid': '5a1325b9741a2384e80424d4'},A7J0XOW7DYBBD,0307394530,Allan Mar Cariaso,"[0, 0]",Can't wait to try all the amazing techniques. I just browsed and I can say that this is the book I am looking for.,5.0,Very helpful,1393113600,"02 23, 2014",Home_and_Kitchen,1.0
{'$oid': '5a1325b9741a2384e80424d1'},A28ILV4TOG8BH2,0130350591,ccjensen,"[0, 0]","The butter dish is serving us well, and keeping the butter fresh and healthy. Couldn't be happier with it, and the color is a pleasing green.",5.0,"Nice looking, and keeps the butter fresh",1300752000,"03 22, 2011",Home_and_Kitchen,1.0
{'$oid': '5a1325b9741a2384e80424d2'},A31B4D7URW4DNZ,0307394530,3Gigi3,"[11, 16]","I anxiously waited for the book I had pre ordered.  Pics were beautiful, but...If you don't want a cake with fondant your pretty much out of luck. As most guests want something yummy to eat as well as pleasing to the eye, fondant just doesn't do it.  Sure it holds color better and makes a great presentation, it just isn't a pleaseing thing to eat.We did take away some ideas, we did use some fondant flowers on the lower layers (least likely to be eaten), and used butterccream for the really good and most enjoyed layers.Good Job Martha, maybe next time you could show how to make butter cream just as attractive as fondant.MOTB",2.0,Mother of the Bride,1214784000,"06 30, 2008",Home_and_Kitchen,0.0
{'$oid': '5a1325b9741a2384e80424d3'},A2HU0RPDRZZOP1,0307394530,Alexey Leontev,"[0, 0]","Fantastic book, a lot of good, original recipes. All very nicely decorated. This book will be the best gift for many.",5.0,amazing book,1277337600,"06 24, 2010",Home_and_Kitchen,1.0
{'$oid': '5a1325b9741a2384e80424d6'},A2MGJ4CELCSG10,0307394530,Amber Owens,"[0, 0]","I was so happy with my purchase, the book was in perfect condition and arrived promptly! Thanks!",5.0,Pleased beyond my expectations!,1234137600,"02 9, 2009",Home_and_Kitchen,1.0
{'$oid': '5a1325b9741a2384e80424d5'},A9QY9F2Y7KDFW,0307394530,"Amazon Customer ""Book Obsessed""","[0, 0]",I've been on the search for the perfect wedding cake recipe for over ten years.  You can call it an obsession as I personally love the way wedding cake tastes and I'm not even married!  I bought this book as soon as it was published and the recipes are incredible - as well as the photos.  For anyone who bakes wedding cakes this is one recipe book worth the investment.,5.0,One in a million,1218499200,"08 12, 2008",Home_and_Kitchen,1.0
{'$oid': '5a1325b9741a2384e80424da'},A1S0WZTK4QTY6O,0307394530,A Reader,"[0, 0]","I got this for myself and when my sister saw it, she wanted one as well.For the avid cake decorator, this is a great reference book with wonderful photos and instructions. Not for the beginner or the faint-hearted.",4.0,A beautiful book,1306195200,"05 24, 2011",Home_and_Kitchen,1.0
{'$oid': '5a1325b9741a2384e80424d7'},A1S0DWONNWB8NH,0307394530,Amy L. Depree,"[0, 0]",I really like this book and the recipes are easy to calculate how much batter you will need.  The pictures are wonderful.,5.0,Martha Stewarts Wedding Cakes,1266278400,"02 16, 2010",Home_and_Kitchen,1.0
{'$oid': '5a1325b9741a2384e80424d8'},A1FUE4TEATOQVV,0307394530,"Angela Mccarter ""Cake Baker""","[1, 1]","Nice book, but more of a coffee table book than a how-to.  It does have some great photos and good recipes.",3.0,Coffee Table Book,1220659200,"09 6, 2008",Home_and_Kitchen,0.0
{'$oid': '5a1325b9741a2384e80424db'},A3RTX03KHAQ8LP,0307394530,Averel Theken,"[0, 0]","This book is very inspirational if you're looking for a cake that is unique or if you just don't know what your style is. The front portion of the book helps you choose your style and the back half features specs on the cakes they show. i.e. how many people they serve, recipes, ect.",5.0,Bride to be help!,1233792000,"02 5, 2009",Home_and_Kitchen,1.0
{'$oid': '5a1325b9741a2384e80424d9'},A399RHVLQVXMA1,0307394530,Angela White,"[1, 1]","Just love this book!! I got some great ideas from it. It is well written, recipes easy to follow. I did wonder whether this would be just another wedding cake book when I first saw it. I am so glad I went with my gut feeling and bought it. I love Martha Stewart items, this delivered well.",5.0,beautiful wedding cakes,1312675200,"08 7, 2011",Home_and_Kitchen,1.0
{'$oid': '5a1325b9741a2384e80424dd'},A2UCOPAEMGV3YP,0307394530,brooklyncakes,"[3, 4]","This is a gorgeous collection of wedding cakes created by some amazing designers, and it provides hours of inspiration. Unfortunately, it doesn't walk you through even the most basic outline of how to make most of these cakes.There are some techniques covered in the back (intro to piping and working with fondant for example) but they are not very in-depth.  I think this book is more of a coffee table book, or one that a bride could take to a cake designer, but not very useful for cake decorators looking to expand their repertoire of techniques.I would gladly pay twice what I paid for this book if it had detailed instructions on how to make the cakes pictured.",3.0,Lots of inspiration but almost no practical instruction,1225152000,"10 28, 2008",Home_and_Kitchen,0.0
