_id,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,category,BehaviouralFeatureResult,label
{'$oid': '5a421d732bfbb88f180e24d2'},A3ITLRYWLKJP5B,B000809PCG,Barry,"[1.0, 2.0]","it's ok, but not great fun.  maybe it just makes my tiny brain work too hard.  I did see this game via Mental Floss magazine.  I'm going to continue to expose my family and friends to it...maybe it will click with some of them and hence make it more fun for me.  full disclosure:  the only time I played it so far was with my 14 year old son, and it was just the 2 of us.  will keep playing and update my review.",3.0,Not the first game I reach for...,1357689600,"01 9, 2013",Toys_and_Games,"{'CS': 0.525950681, 'MNR': 0.0, 'RB': 0.0, 'RC': 2.0, 'PR': 50.0, 'NR': 50.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 0.0, 'RD': 0.5, 'RL': 412.0, 'ER': 0.0, 'PC': 1.27388535}",0.0
{'$oid': '5a421d732bfbb88f180e24d3'},AA65S7IF7V9GU,B004Y6F9KW,J Ayles,"[0.0, 0.0]",I love this Air-soft rifle. I love the scope it looks cool. The laser works really well. I would recommend getting it.UK ARMS P36 Spring 280-FPS Air-soft Gun Rifle with LASER AND FLASHLIGHT with EXTRA James Bond Concealable Pistol 180-FPS COMBO Air-soft Gun,5.0,Cool,1314230400,"08 25, 2011",Sports_and_Outdoors,"{'CS': 0.0, 'MNR': 0.0, 'RB': 0.0, 'RC': 0.0, 'PR': 0.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 1.0, 'AW': 0.0, 'RD': 2.2, 'RL': 257.0, 'ER': 1.0, 'PC': 24.64454976}",0.0
{'$oid': '5a421d732bfbb88f180e24d4'},A3EBF7VUVF09GW,B0041RR5X8,"Helene M. Jolley ""Shopaholic""","[0.0, 0.0]","Bought this for my new bathroom and though it is nice, shiny chrome and looks good, it is a little flimsy. Thee side ebars are in two pieces, not one, and the top slips into the bottom, but not really tight and it comes apart easily. You can't pick it up to move it without its coming apart. I slid it in sideways between our two sinks so it works OK for me.",3.0,Flimsy but serviceable,1341705600,"07 8, 2012",Home_and_Kitchen,"{'CS': 0.639148171, 'MNR': 0.0, 'RB': 0.0, 'RC': 7.0, 'PR': 57.14285714, 'NR': 28.57142857, 'FR': 0.142857143, 'RSP': 0.0, 'AW': 411.0, 'RD': 0.75, 'RL': 358.0, 'ER': 0.0, 'PC': 0.709219858}",0.0
{'$oid': '5a421d732bfbb88f180e24d5'},A14YSDP7TH705X,B00066D6KO,amazonfan111,"[0.0, 0.0]","I guess the description of ""4 lbs of force needed"" didn't make much sense to me when I read it - as it is clearly very light for water use. Also I thought it would be heavy enough to stand on in the water (using 1 with a foot on either side) but it is not large enough for that.",3.0,"""Medium weight"" = very light",1377302400,"08 24, 2013",Sports_and_Outdoors,"{'CS': 0.360997436, 'MNR': 1.0, 'RB': 1.0, 'RC': 2.0, 'PR': 100.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 66.0, 'RD': 1.37755102, 'RL': 278.0, 'ER': 0.0, 'PC': 0.921658986}",0.0
{'$oid': '5a421d732bfbb88f180e24d6'},A2VNHQNN1T3KKN,B0057MGKO6,sherri,"[0.0, 0.0]",Only receive 5 of the 10? What's up with that? What we received we liked! Any chance of getting the rest?,1.0,Only received 5 of the 10! What's up with that? The 5 we received were very cute!why did that happen?,1390867200,"01 28, 2014",Toys_and_Games,"{'CS': 0.0, 'MNR': 0.0, 'RB': 0.0, 'RC': 0.0, 'PR': 0.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 1.0, 'AW': 0.0, 'RD': 3.436123348, 'RL': 105.0, 'ER': 1.0, 'PC': 4.705882353}",0.0
{'$oid': '5a421d732bfbb88f180e24d7'},AH3CZ9FQ3W4UJ,B008CL2HQY,"Amazon Customer ""T. Swen""","[2.0, 2.0]","If you are one of those people who lack the fullness in booty that some of us have in abundance, then these might be for you. They are cute, cost quite a bit, and quite frankly just don't cover enough for us big booty gals. My butt is more average and is not fully covered up by this bottom. But I thought it was really cute and perhaps more appropriate for someone who has less curve and is perhaps more fit than I am.",3.0,Good if your butt is tiny,1402704000,"06 14, 2014",Sports_and_Outdoors,"{'CS': 0.427943241, 'MNR': 1.0, 'RB': 7.0, 'RC': 7.0, 'PR': 100.0, 'NR': 0.0, 'FR': 0.142857143, 'RSP': 0.0, 'AW': 0.0, 'RD': 0.2, 'RL': 419.0, 'ER': 0.0, 'PC': 0.602409639}",0.0
{'$oid': '5a421d732bfbb88f180e24d8'},A2MX2XP8Y5CHY1,B001L9C412,Fran,"[0.0, 0.0]","I ordered a medium size to allow for shrinkage, but the shirt still shrunk to less thana Small size.",1.0,Shrunk to a tight fit.,1392681600,"02 18, 2014",Sports_and_Outdoors,"{'CS': 1.0, 'MNR': 1.0, 'RB': 3.0, 'RC': 14.0, 'PR': 35.71428571, 'NR': 42.85714286, 'FR': 0.357142857, 'RSP': 0.0, 'AW': 604.0, 'RD': 3.263157895, 'RL': 100.0, 'ER': 1.0, 'PC': 1.234567901}",0.0
{'$oid': '5a421d732bfbb88f180e24d9'},A32WBLCBNVWVN,B003PJI9II,lougood,"[1.0, 1.0]","worked fine for 2 weeks then my system failed to boot. ran the bios memory check and it failed the memory. removed the 2 sticks from komputerbay and the system booted fine. Put them back in and it failed. out worked, in failed. not worth the hassel to return for the price so take some advice, buy a better grade of memory :-)",1.0,Failed in 2 weeks,1364428800,"03 28, 2013",Electronics,"{'CS': 0.0, 'MNR': 0.0, 'RB': 0.0, 'RC': 0.0, 'PR': 0.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 1.0, 'AW': 0.0, 'RD': 3.484804631, 'RL': 326.0, 'ER': 1.0, 'PC': 1.544401544}",0.0
{'$oid': '5a421d732bfbb88f180e24da'},A2WTJKHLTFWLG6,B004GREDE2,emily vann,"[0.0, 0.0]","To protect the phone-greatBut whenever I tried to talk on the phone when it was being used, they could not hear me. Because holes not big enough, it muffled sound. Use Bluetooth",3.0,great protection,1365724800,"04 12, 2013",Cell_Phones_and_Accessories,"{'CS': 0.293080324, 'MNR': 0.0, 'RB': 0.0, 'RC': 4.0, 'PR': 0.0, 'NR': 50.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 459.0, 'RD': 0.0, 'RL': 177.0, 'ER': 0.0, 'PC': 2.777777778}",0.0
{'$oid': '5a421d732bfbb88f180e24db'},A2HUHNNMYZH0IO,B001NQ295Y,Daniel Godin,"[0.0, 0.0]","My girlfriend was looking forward to this bell for her new bike, but it arrived a bit scratched and dinged. This took away from newness her bike.",2.0,Arrived scratched,1381622400,"10 13, 2013",Sports_and_Outdoors,"{'CS': 0.220736323, 'MNR': 1.0, 'RB': 1.0, 'RC': 2.0, 'PR': 100.0, 'NR': 0.0, 'FR': 0.0, 'RSP': 0.0, 'AW': 68.0, 'RD': 2.179487179, 'RL': 145.0, 'ER': 0.0, 'PC': 0.0}",0.0
